room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
10070760,1430,51673718,Shared room,,San Francisco,,Visitacion Valley,33,4.5,1,1.0,,45.0,,2017-07-10 23:43:13.901677,37.713184,-122.412082,0101000020E61000004C512E8D5F9A5EC0E603029D49DB4240
17478285,1430,40297300,Shared room,,San Francisco,,Bayview,31,5.0,2,1.0,,59.0,,2017-07-10 23:43:13.893559,37.727202,-122.3717,0101000020E610000016FBCBEEC9975EC0FBCA83F414DD4240
15422181,1430,21430100,Shared room,,San Francisco,,Inner Sunset,67,4.5,1,1.0,,50.0,,2017-07-10 23:43:13.888575,37.763636,-122.458262,0101000020E6100000F9BF232A549D5EC02D060FD3BEE14240
70753,1430,329072,Shared room,,San Francisco,,Financial District,226,4.5,4,1.0,,45.0,,2017-07-10 23:43:13.885990,37.79447,-122.404505,0101000020E61000006284F068E3995EC099D36531B1E54240
19548605,1430,120736581,Shared room,,San Francisco,,Lakeshore,1,0.0,1,1.0,,50.0,,2017-07-10 23:43:13.883930,37.719112,-122.480214,0101000020E6100000354580D3BB9E5EC0A114ADDC0BDC4240
17543814,1430,36997746,Shared room,,San Francisco,,Outer Sunset,21,4.5,1,1.0,,42.0,,2017-07-10 23:43:13.881335,37.749887,-122.477679,0101000020E61000001ABFF04A929E5EC00859164CFCDF4240
4902444,1430,22931450,Shared room,,San Francisco,,North Beach,94,4.5,4,1.0,,43.0,,2017-07-10 23:43:13.878794,37.798451,-122.404453,0101000020E610000039F1D58EE2995EC0B03A72A433E64240
15828423,1430,5215966,Shared room,,San Francisco,,Outer Sunset,29,5.0,1,1.0,,47.0,,2017-07-10 23:43:13.876136,37.755573,-122.494409,0101000020E61000004776A565A49F5EC0CC5EB69DB6E04240
8763407,1430,23278,Shared room,,San Francisco,,Mission,96,5.0,1,1.0,,49.0,,2017-07-10 23:43:13.873644,37.758097,-122.413884,0101000020E61000009C1551137D9A5EC00D198F5209E14240
19511968,1430,71911209,Shared room,,San Francisco,,Western Addition,2,0.0,1,1.0,,53.0,,2017-07-10 23:43:13.871509,37.78223,-122.432635,0101000020E6100000B806B64AB09B5EC09CF9D51C20E44240
1408281,1430,1753794,Shared room,,San Francisco,,Castro/Upper Market,257,5.0,1,1.0,,51.0,,2017-07-10 23:43:13.868480,37.764332,-122.436643,0101000020E6100000C0417BF5F19B5EC0A5A487A1D5E14240
435390,1430,576273,Shared room,,San Francisco,,Chinatown,6,5.0,1,1.0,,29.0,,2017-07-10 23:43:12.379654,37.794553,-122.406003,0101000020E6100000FCC401F4FB995EC027F8A6E9B3E54240
435391,1430,576273,Shared room,,San Francisco,,Chinatown,5,5.0,1,1.0,,29.0,,2017-07-10 23:43:10.936210,37.794782,-122.405917,0101000020E6100000FDF84B8BFA995EC088B9A46ABBE54240
15253799,1430,33663709,Shared room,,San Francisco,,Financial District,0,0.0,1,1.0,,34.0,,2017-07-10 23:43:10.933401,37.792248,-122.393271,0101000020E6100000C6DD205A2B995EC02429E96168E54240
14756524,1430,26647424,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,34.0,,2017-07-10 23:43:10.922660,37.769089,-122.423983,0101000020E6100000D7C39789229B5EC04F5B238271E24240
435389,1430,576273,Shared room,,San Francisco,,Chinatown,5,5.0,1,1.0,,29.0,,2017-07-10 23:43:10.919811,37.794184,-122.405819,0101000020E61000001B4641F0F8995EC0D48041D2A7E54240
19057720,1430,8121021,Shared room,,San Francisco,,Downtown/Civic Center,1,0.0,1,1.0,,28.0,,2017-07-10 23:43:10.917286,37.780501,-122.415032,0101000020E6100000C8B260E28F9A5EC066BFEE74E7E34240
18020492,1430,123914250,Shared room,,San Francisco,,Chinatown,0,0.0,1,1.0,,25.0,,2017-07-10 23:43:10.912345,37.796007,-122.405566,0101000020E6100000A69718CBF4995EC08C31B08EE3E54240
12525238,1430,66654641,Shared room,,San Francisco,,Ocean View,15,5.0,1,1.0,,40.0,,2017-07-10 23:43:10.909596,37.713954,-122.467717,0101000020E610000020B24813EF9D5EC0986C3CD862DB4240
